NumSingle NumDouble Num3orMore NumNotCliques MaxSize AvgSize
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 13 13.00
0 0 1 1 49 49.00
0 0 1 1 49 49.00
2 0 2 2 40 23.00
2 0 4 4 26 13.25
0 0 1 1 49 49.00
2 0 2 2 40 23.00
2 0 2 2 40 23.00
2 0 2 2 40 23.00
2 0 2 2 40 23.00
48 0 0 0 0 0.00
48 0 0 0 0 0.00
48 0 0 0 0 0.00
2 0 2 2 40 23.00
2 0 6 1 40 7.50
2 0 6 1 40 7.50
2 0 6 1 40 7.50
2 0 6 1 40 7.50
2 0 2 2 40 23.00
2 0 6 1 40 7.50
2 0 41 1 6 1.12
2 0 41 1 6 1.12
2 0 41 1 6 1.12
2 0 41 1 6 1.12
2 0 41 1 6 1.12
2 0 41 1 6 1.12
2 0 41 0 6 1.12
2 0 41 1 6 1.12
2 0 2 2 40 23.00
1 0 3 2 40 15.67
0 0 5 2 39 9.40
1 0 3 2 40 15.67
1 0 3 2 40 15.67
1 0 3 2 40 15.67
0 0 1 1 49 49.00
1 0 3 2 40 15.67
1 0 3 2 40 15.67
1 0 3 2 40 15.67
0 0 43 1 6 1.12
1 0 3 2 40 15.67
1 0 3 2 40 15.67
1 0 3 2 40 15.67
0 0 43 1 6 1.12
2 0 2 2 40 23.00
1 0 3 2 40 15.67
0 0 1 1 49 49.00
1 0 3 2 40 15.67
0 0 5 2 39 9.40
1 0 3 2 40 15.67
1 0 3 2 40 15.67
1 0 5 4 26 10.80
0 0 44 1 11 1.23
1 0 3 2 40 15.67
1 0 5 4 26 10.80
1 0 3 2 40 15.67
1 0 5 4 26 10.80
0 0 5 2 39 9.40
1 0 3 2 40 15.67
